id_a,id_b,timestamp,x0,x1,x2,std_x0,std_x1,std_x2,trace_P,cross_cov_norm,cc_0_1,cc_0_2,cc_0_3,cc_1_2,cc_1_3,cc_2_3,trace_P_before,eig_min_P,sym_err_P,phi_trace,correction_norm,residual_norm,residual
0,3,1787861849.563519,0.629039,0.022212,-0.156243,0.239307,0.250477,0.215756,0.166557,0.268627,0.074795,0.000000,0.084264,0.000000,0.109568,0.000000,0.166577,0.036211,0.000000,3.000000,0.000412,0.101153,-0.099250;-0.019527
1,3,1787861849.664250,0.628273,0.022052,-0.156774,0.239246,0.250470,0.215736,0.166516,0.267967,0.074832,0.000000,0.082534,0.000000,0.110601,0.000000,0.166577,0.036200,0.000000,3.000000,0.000946,0.128593,0.104257;0.075277
0,1,1787861849.765803,0.629434,0.022715,-0.157045,0.239050,0.250254,0.215099,0.166040,0.268108,0.075012,0.000000,0.082484,0.000000,0.110613,0.000000,0.166516,0.035849,0.000000,3.000000,0.001364,0.129522,0.125143;0.033352;-0.001649
0,3,1787861849.964958,0.629127,0.022652,-0.157276,0.239082,0.250253,0.215151,0.166077,0.268789,0.075029,0.000000,0.083780,0.000000,0.109980,0.000000,0.166100,0.035866,0.000000,3.000000,0.000389,0.084769,-0.080034;-0.027933
0,1,1787861850.065297,0.630236,0.023319,-0.157645,0.238977,0.250055,0.214638,0.165707,0.268909,0.075198,0.000000,0.083700,0.000000,0.110011,0.000000,0.166157,0.035568,0.000000,3.000000,0.001346,0.127779,0.123379;0.031486;-0.010666
1,3,1787861850.263442,0.629805,0.023289,-0.158008,0.239039,0.250057,0.214718,0.165772,0.267312,0.075215,0.000000,0.081642,0.000000,0.110454,0.000000,0.165795,0.035593,0.000000,3.000000,0.000565,0.117474,0.095215;0.068806
0,1,1787861850.364915,0.630889,0.023822,-0.158054,0.238863,0.249870,0.214144,0.165348,0.267437,0.075374,0.000000,0.081606,0.000000,0.110457,0.000000,0.165772,0.035281,0.000000,3.000000,0.001209,0.126935,0.121953;0.032859;0.012656
0,3,1787861850.465807,0.630557,0.023771,-0.158303,0.238871,0.249870,0.214168,0.165363,0.268625,0.075388,0.000000,0.083341,0.000000,0.109896,0.000000,0.165382,0.035287,0.000000,3.000000,0.000418,0.095766,-0.092721;-0.023958
0,1,1787861850.765906,0.631475,0.024235,-0.158385,0.238814,0.249699,0.213747,0.165069,0.268729,0.075538,0.000000,0.083269,0.000000,0.109922,0.000000,0.165471,0.035036,0.000000,3.000000,0.001032,0.109939,0.106027;0.028149;0.007234
0,3,1787861850.863766,0.631262,0.024206,-0.158537,0.238801,0.249699,0.213736,0.165058,0.269417,0.075546,0.000000,0.084601,0.000000,0.109269,0.000000,0.165069,0.035032,0.000000,3.000000,0.000263,0.087000,-0.085375;-0.016737
0,1,1787861850.964595,0.632244,0.024743,-0.158724,0.238665,0.249537,0.213244,0.164703,0.269501,0.075687,0.000000,0.084503,0.000000,0.109312,0.000000,0.165081,0.034762,0.000000,3.000000,0.001135,0.121479,0.117377;0.031303;0.000027
0,3,1787861851.365343,0.632112,0.024688,-0.158815,0.238815,0.249527,0.213418,0.164843,0.268494,0.075691,0.000000,0.084833,0.000000,0.107971,0.000000,0.164872,0.034828,0.000000,3.000000,0.000169,0.047440,-0.044821;-0.015544
1,3,1787861851.464164,0.631126,0.024479,-0.159485,0.238724,0.249518,0.213373,0.164776,0.267502,0.075727,0.000000,0.082340,0.000000,0.109436,0.000000,0.164843,0.034807,0.000000,3.000000,0.001211,0.155084,0.127280;0.088605
0,1,1787861851.565270,0.632073,0.024915,-0.159469,0.238608,0.249367,0.212916,0.164451,0.267597,0.075860,0.000000,0.082284,0.000000,0.109452,0.000000,0.164810,0.034555,0.000000,3.000000,0.001043,0.120021,0.114995;0.030657;0.015536
