id_a,id_b,timestamp,x0,x1,x2,std_x0,std_x1,std_x2,trace_P,cross_cov_norm,trace_P_before,eig_min_P,sym_err_P,phi_trace,correction_norm,residual_norm,residual
0,3,1787690736.490703,-0.390614,-0.459327,0.153051,0.245983,0.253647,0.212362,0.169942,0.288832,0.169942,0.032255,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690736.591261,-0.390614,-0.459327,0.153051,0.245983,0.253647,0.212362,0.169942,0.288832,0.169942,0.032255,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,3,1787690736.691238,-0.390614,-0.459327,0.153051,0.246063,0.253649,0.212456,0.170022,0.288832,0.170022,0.032284,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,3,1787690736.891301,-0.390614,-0.459327,0.153051,0.246142,0.253651,0.212550,0.170102,0.288832,0.170102,0.032314,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,3,1787690736.990464,-0.390614,-0.459327,0.153051,0.246142,0.253651,0.212550,0.170102,0.288832,0.170102,0.032314,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690737.091438,-0.390614,-0.459327,0.153051,0.246222,0.253653,0.212644,0.170182,0.288832,0.170182,0.032344,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,3,1787690737.190956,-0.390614,-0.459327,0.153051,0.246222,0.253653,0.212644,0.170182,0.288832,0.170182,0.032344,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690737.291193,-0.390614,-0.459327,0.153051,0.246301,0.253655,0.212738,0.170262,0.288832,0.170262,0.032373,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,3,1787690737.390703,-0.390614,-0.459327,0.153051,0.246301,0.253655,0.212738,0.170262,0.288832,0.170262,0.032373,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690737.491349,-0.390614,-0.459327,0.153051,0.246380,0.253657,0.212832,0.170342,0.288832,0.170342,0.032403,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,3,1787690737.590293,-0.390614,-0.459327,0.153051,0.246380,0.253657,0.212832,0.170342,0.288832,0.170342,0.032403,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690737.689100,-0.390614,-0.459327,0.153051,0.246460,0.253658,0.212926,0.170422,0.288832,0.170422,0.032432,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690737.790893,-0.390614,-0.459327,0.153051,0.246460,0.253658,0.212926,0.170422,0.288832,0.170422,0.032432,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690737.891603,-0.390614,-0.459327,0.153051,0.246539,0.253660,0.213020,0.170502,0.288832,0.170502,0.032462,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
2,1,1787690738.089766,-0.385465,-0.470727,0.161207,0.240942,0.249108,0.208034,0.163386,0.317910,0.170582,0.030417,0.000000,3.000000,0.014933,0.310067,0.067749;-0.127593;0.274356
2,3,1787690738.189235,-0.385465,-0.470727,0.161207,0.240942,0.249108,0.208034,0.163386,0.317910,0.163386,0.030417,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690738.290617,-0.380334,-0.471934,0.146184,0.240141,0.248930,0.205528,0.161876,0.317927,0.163466,0.029602,0.000000,3.000000,0.015921,0.565150,-0.320913;0.455299;0.095460
